DSM_Qvec	DSM_Int	DSM_Error
0.000890641590983348	4587851.987113887	85834.7393892385
0.0009153775645406926	4241799.235875307	75996.20639034918
0.0009402111107059576	3913762.106693128	71602.65357748527
0.0009651415401979103	3650922.803309818	70448.45860967989
0.0009943517004048687	3333499.918047699	69424.68999761761
0.001023685624706802	3130467.886712667	67658.13384110339
0.001048934333208041	2918840.019608899	67158.69151362457
0.001078513169678049	2723718.870817502	69138.54807131848
0.001108213218565187	2609423.410289886	69558.47688737707
0.001138045691113615	2375151.771238875	63751.57144334403
0.001172290214818493	2217150.846934803	53726.17502421982
0.001202384815874553	2117674.728342837	45612.78305379761
0.00123260918947544	2001442.041112514	41677.69554251582
0.001267298684918116	1845724.736425203	39045.07036176874
0.001302147924345917	1749903.776757688	35783.62716577019
0.001337155873143222	1663340.862424667	33867.04732112259
0.001372321534927407	1582120.810622868	34209.34354978574
0.001407643949352912	1476516.211978082	33894.95608703715
0.001443122190089915	1428168.462595049	32167.89534048786
0.001483223968324135	1363748.018456634	33259.6783960165
0.001523513389230632	1295736.551777457	38357.65952614991
0.001559492045033467	1184337.40291912	41535.55973560521
0.001600153501393312	1179372.989811772	38777.89471093305
0.001645553559530454	1121550.367937394	33338.60414479185
0.001686611107563188	1044866.336798883	28808.78671981747
0.001727865030830487	1015185.682588574	25096.0168985764
0.001773919717922335	968709.4072073497	21925.58862659053
0.001820205658727544	937208.9791507252	19977.18435594818
0.001866721592678264	898265.5640928273	19715.26041193023
0.001913466303789138	848932.0348762199	21632.51150443035
0.001965152473750309	801316.7991352211	25739.48726549785
0.002017104238367623	792054.2757838888	30320.38528579826
0.00206457334248811	735004.6993353686	32334.48073966972
0.002117052247937458	746158.2139430845	29767.77934041514
0.002174605158847588	686072.6634528162	23951.29670277616
0.002227638578743822	653714.7923217318	18470.13357088232
0.002280947226480222	629513.824019789	15562.77035879562
0.002339400935221655	612390.3599304227	15162.51391448125
0.002398169582002802	587696.0413786382	16475.25117638715
0.00246219400260627	549126.2551110932	18246.25991790492
0.002526575121355813	540577.8224493501	18586.1254750111
0.002586331602249468	500138.4708038134	16652.36422081152
0.002651421224538634	483124.8101845664	13811.8700365672
0.002716862765014389	467540.2099938327	11759.97976184282
0.002782673142554255	443484.8505535982	10651.74393590448
0.002853941335529699	424922.5650435559	9969.640548404976
0.002925623028252452	406837.0642751696	9514.73851637149
0.002997716465964009	394261.490560647	9142.253774042278
0.003070219955557243	377947.4609754702	8802.778792477842
0.003148360629780256	361172.9514164137	8564.335975954124
0.003226957835968982	340995.9164570709	8256.22813531174
0.003306030414349521	326973.7288948572	7763.454157272643
0.003390879530318605	312434.9564081292	7357.65940587786
0.00347625359348798	298673.9721669215	7190.165969603006
0.003562150569839813	282330.8872775299	7020.288918379532
0.00364856849841869	269628.0665434509	6706.008833201186
0.003735505487678477	257663.8119260586	6444.681916848233
0.003828448438196689	245638.0110044894	6397.650004483279
0.003921961779702147	232134.8690081256	6401.514350319716
0.004016066252314713	223037.934928845	6202.292163886804
0.004116330004651737	210265.6223593774	5800.061398262947
0.004217239286003693	199507.1769070214	5394.940207111756
0.004318791931446294	189687.8643090413	5129.979411337557
0.004420985854184913	180233.2159085883	5020.860777776254
0.004529556929075102	168576.6646608614	4999.12929802658
0.004644602674817791	157478.8439460539	4919.457914366761
0.004754616282737999	151051.5934953798	4679.37014541439
0.004865347831083905	143152.1805482167	4390.226035418197
0.004988553714408644	133867.9727172511	4240.262810773004
0.005112602779228865	126119.9778263584	4212.760488472029
0.005231545443337405	116665.161981175	4128.135125148044
0.005357273559211157	109522.9616237428	3904.270776544844
0.005489892785950604	104128.3678923085	3695.656501315056
0.00562344177095749	97546.15712493326	3827.870324932685
0.00575791800283885	90202.12820828101	4418.615225750378
0.005930797697322402	83089.69362396725	4968.051664008179
0.006129327238579957	67668.44489873233	4766.432839367339
0.006198199748842522	71570.96555361949	3769.518830986607
0.00633658397178934	64574.97405933092	2567.705528463962
0.006488577565501912	62640.69901921039	1659.002911705347
